IB1,IB2,IB3,IB4,IB5,IH1,IH2,IH3,IH4,lang,education_level,sex,country_origin,country,age,continent
6,1,4,6,4,5,4,3,4,3,Bachelor's degree,Female,1.0,ITA,61.0,Europe
2,3,3,6,5,5,2,3,3,1,High school,Female,13.0,AUS,19.0,Oceania
5,2,2,7,5,2,1,2,1,3,Master's degree,Female,1.0,ITA,27.0,Europe
5,5,4,3,4,3,4,5,3,1,High school,Female,228.0,USA,22.0,North America
7,2,2,6,7,1,1,5,2,3,,Female,1.0,ITA,28.0,Europe
7,5,5,7,7,1,2,6,1,3,High school,Female,1.0,ITA,45.0,Europe
6,3,3,6,2,1,3,5,5,3,Bachelor's degree,Male,1.0,ITA,31.0,Europe
2,2,2,2,3,3,2,5,2,1,High school,Female,228.0,USA,18.0,North America
5,4,5,3,6,5,5,3,4,3,Master's degree,Female,1.0,ITA,26.0,Europe
2,6,6,2,6,2,4,2,3,3,Bachelor's degree,Female,1.0,ITA,25.0,Europe
2,6,5,5,4,4,5,6,5,1,High school,Female,13.0,AUS,18.0,Oceania
7,5,5,4,6,4,1,5,5,1,Bachelor's degree,Female,227.0,GBR,20.0,Europe
4,5,5,2,4,4,2,4,5,1,Bachelor's degree,Female,228.0,USA,19.0,North America
3,7,5,5,6,5,5,1,3,1,High school,Female,153.0,NLD,20.0,Europe
1,4,2,7,4,2,4,5,2,3,Master's degree,Female,1.0,ITA,29.0,Europe
5,5,6,3,4,1,4,1,2,1,High school,Female,228.0,USA,20.0,North America
5,5,5,3,5,3,4,3,5,1,High school,Female,228.0,USA,19.0,North America
5,7,3,6,5,6,2,5,5,1,Bachelor's degree,Female,227.0,GBR,21.0,Europe
3,2,6,6,2,1,2,2,2,4,Bachelor's degree,Female,168.0,RUS,31.0,Asia
2,5,2,6,5,2,1,5,2,1,Bachelor's degree,Female,227.0,GBR,20.0,Europe
6,3,6,7,6,6,7,7,6,3,Master's degree,Female,1.0,ITA,31.0,Europe
4,5,3,2,3,6,5,7,6,1,High school,Female,228.0,AUS,18.0,Oceania
7,5,5,2,7,6,5,6,5,3,Master's degree,Male,1.0,ITA,38.0,Europe
5,4,5,3,6,5,2,1,5,1,High school,Male,38.0,CAN,63.0,North America
7,3,6,5,5,4,3,2,3,1,High school,Female,228.0,USA,20.0,North America
5,6,6,2,4,3,6,3,3,6,Bachelor's degree,Female,66.0,ESP,18.0,Europe
5,5,3,5,3,5,1,6,4,1,High school,Male,110.0,USA,19.0,North America
3,4,4,6,4,5,1,1,5,1,Bachelor's degree,Female,100.0,USA,31.0,North America
1,3,3,4,3,2,3,5,5,1,High school,Female,228.0,USA,19.0,North America
5,6,6,6,3,4,4,6,4,1,Bachelor's degree,Female,227.0,GBR,22.0,Europe
2,2,1,1,3,3,3,4,3,1,High school,Female,227.0,GBR,19.0,Europe
6,7,4,5,3,5,5,3,5,1,Bachelor's degree,Male,227.0,GBR,21.0,Europe
5,5,3,2,3,2,4,3,2,1,High school,Female,228.0,USA,18.0,North America
4,5,2,5,2,4,4,2,6,1,High school,Female,227.0,GBR,21.0,Europe
3,5,5,2,3,3,6,3,4,3,Bachelor's degree,Male,1.0,ITA,22.0,Europe
6,3,5,4,6,5,4,2,3,1,Bachelor's degree,Female,227.0,GBR,21.0,Europe
3,4,2,1,2,1,3,1,1,1,Master's degree,Male,172.0,GBR,23.0,Europe
6,3,3,3,5,1,1,2,2,3,High school,Male,1.0,ITA,22.0,Europe
3,3,4,4,3,4,5,2,4,1,Bachelor's degree,Male,172.0,GBR,22.0,Europe
1,4,4,3,7,3,2,1,2,1,Bachelor's degree,Female,172.0,GBR,20.0,Europe
2,5,5,1,3,5,1,3,5,1,High school,Male,228.0,USA,19.0,North America
5,6,3,3,2,1,1,2,4,1,High school,Female,228.0,USA,20.0,North America
4,6,5,5,5,5,5,5,5,1,High school,Female,202.0,USA,19.0,North America
1,2,4,6,4,2,1,3,2,1,High school,Female,140.0,USA,22.0,North America
3,2,4,2,2,2,2,2,2,1,High school,Female,225.0,USA,19.0,North America
3,2,3,4,2,2,2,5,2,1,High school,Female,228.0,USA,19.0,North America
6,6,5,6,2,5,6,5,5,6,Master's degree,Male,66.0,ESP,45.0,Europe
5,5,6,5,7,3,1,5,5,3,High school,Male,1.0,ITA,27.0,Europe
7,4,7,4,7,7,1,7,5,1,Bachelor's degree,Male,227.0,GBR,20.0,Europe
7,5,6,6,5,5,5,6,5,3,Doctoral degree,Male,1.0,ITA,29.0,Europe
5,4,3,4,5,5,2,5,5,1,High school,Male,228.0,USA,19.0,North America
1,6,6,6,6,5,6,2,6,1,Bachelor's degree,Female,156.0,NZL,32.0,Oceania
6,6,5,4,4,2,3,6,4,1,Bachelor's degree,Male,165.0,USA,20.0,North America
5,3,2,4,2,3,6,3,3,3,Master's degree,Female,1.0,ITA,25.0,Europe
5,6,5,6,3,1,4,5,1,1,Bachelor's degree,Male,172.0,GBR,23.0,Europe
2,2,2,3,2,2,5,4,4,1,High school,Male,228.0,USA,19.0,North America
1,4,1,1,4,1,5,5,4,1,High school,Male,228.0,USA,20.0,North America
6,4,6,7,4,3,2,6,6,6,Master's degree,Male,66.0,ESP,32.0,Europe
7,1,5,5,6,5,5,7,6,1,High school,Female,228.0,USA,21.0,North America
5,5,5,3,4,2,4,5,4,1,High school,Female,234.0,USA,18.0,North America
6,5,3,5,3,5,1,5,5,1,High school,Female,228.0,USA,19.0,North America
6,7,6,4,2,5,2,6,5,1,High school,Female,228.0,USA,19.0,North America
2,2,3,2,1,1,7,1,1,1,Master's degree,Other,156.0,NZL,33.0,Oceania
6,5,2,2,5,2,5,3,5,1,High school,Male,228.0,USA,21.0,North America
